sample_id	ras_score	tp53_score	ras_shuffle	tp53_shuffle
ALL-03	0.696241718437374	0.11429865751395978	0.37168009509787797	0.430524419837072
ALL-04	0.43467160685892514	0.4149906002004525	0.6446949496396702	0.5044180124317009
ALL-07	0.44106437222618267	0.5072870213293214	0.4004418469458451	0.47702979631563663
ALL-08	0.5048966015364375	0.3554940287815352	0.560337065282398	0.37091400508020717
ALL-10	0.41966060808785105	0.26900999661081015	0.4921503475775099	0.4395427071064782
ALL-19	0.6013972809683764	0.17149143684490617	0.5888601240767265	0.4136502290455327
ALL-25	0.35907169643327563	0.38979673558560307	0.5415578737229629	0.4165622299659462
ALL-27	0.4970047052654464	0.6662609942682695	0.6212533795505797	0.37262995712123576
ALL-30	0.5545141428801323	0.2635663793479392	0.5068211856115026	0.4902513508383018
ALL-31	0.5074290851753994	0.4885454576223374	0.3842018245752021	0.5511715110475728
ALL-32	0.5337627601909314	0.16176422593979872	0.4888114672556853	0.3926166900713797
ALL-42	0.5750154893147778	0.6482742961545014	0.47578455486661436	0.6965154170317842
ALL-47	0.5046361695571577	0.3077644667239877	0.6029969003945868	0.5522741235915483
ALL-50	0.5330722291381097	0.40598048112383983	0.5822210039331255	0.4951942462759729
ALL-56	0.5553136779878673	0.3772336228168574	0.6528069387178975	0.6435812772178936
ALL-57	0.3298502445904185	0.4750282766356018	0.4562905620723275	0.5325698101207552
ALL-59	0.5651093147039843	0.16654783530906714	0.6818576995192065	0.3884140884821813
ALL-60	0.38354906020731844	0.33562537217559896	0.4530258345272935	0.615917820609056
ALL-82	0.5765963138842913	0.6643933152232945	0.4073697348889195	0.18058404376930312
ALL-83	0.45205793563317215	0.6863582802935845	0.4952569941705492	0.42861800678932127
ALL-84	0.6220486583560171	0.24044094617545195	0.4899490959849828	0.693651551417426
ALL-85	0.5707758565274902	0.48653434878521784	0.47951502391418427	0.42861141780241585
ALL-86	0.5120207554718984	0.09181502787214317	0.30357365023158817	0.4367850574400338
ALL-88	0.5189325746690417	0.4556366482352279	0.4224811417802017	0.5936381758553172
ALL-91	0.5347535367982493	0.4713612960567786	0.5925233912618622	0.7583666218202602
ALL-93	0.6200526795950851	0.358982459162648	0.5191215712078942	0.4014851165111167
ASPS-KY	0.5459037131752519	0.820145962787764	0.45808294861600274	0.5892238575479899
BT-27	0.34153064431983615	0.4623559211360246	0.503484100914623	0.5157157206856627
BT-29	0.6375834176394425	0.1844142803051987	0.3908241949261887	0.5334881931191091
CHLA-258	0.6083077179487729	0.28578102546263473	0.578640868262073	0.5951574927463862
CHLA-79	0.5606365441647655	0.58183729481076	0.5595764017402749	0.6627487161330476
COG-N-415x	0.6259339864363197	0.17126193503130369	0.18114340033777604	0.5965160934077475
COG-N-421x	0.5240800612564464	0.37211080440097255	0.47894919506387185	0.45047837987339073
COG-N-424x	0.4835947272402573	0.21638842657412466	0.5266094253736762	0.7120690592930811
COG-N-426x-FELIX-x	0.5114411016617201	0.7295765146374363	0.3680249293193057	0.19556311600711507
COG-N-440x	0.45772614909658543	0.20173803217164826	0.5108011154160347	0.5543272680593858
COG-N-452x	0.5276169506007654	0.36780595094213014	0.4366518259964057	0.6843867977457274
COG-N-453x	0.5316242824422478	0.4460405189782229	0.5641415029916145	0.5009859051670725
COG-N-471x	0.5401048999773235	0.6573828658454398	0.5570348640958842	0.6333937018596485
COG-N-480x	0.73550645735292	0.4374974253575229	0.5876546358965931	0.4623758722522173
COG-N-496x	0.4655109127067818	0.8752621201822826	0.5520787256151309	0.5835560416016214
COG-N-519x	0.40725844699736125	0.7383599123127044	0.18146589381957198	0.4234055608118861
