sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
ALL-95	0.5111082070445729	0.26582316125816513	0.49483732665543756	0.5134050492451651	0.6177164637312761	0.5809175765847041
ALL-97	0.3711193220396313	0.4978414061408159	0.5051788500280744	0.43763425360716446	0.6735149574573001	0.48575196368630424
PAKYEP	0.38668389024523786	0.5831708152983615	0.46112849453562393	0.600616360745822	0.39192430401205347	0.4966173792169793
ALL-02	0.43541830978969565	0.3232711204733376	0.42575357227633864	0.22623224408580717	0.6312463544457264	0.5013787291913409
ALL-03	0.710010086515122	0.11869083266938989	0.5218010380808921	0.3996078149758991	0.546213819636453	0.5980659420072654
ALL-04	0.44027039983765875	0.4242807044025266	0.4459721417902023	0.4266207249926007	0.651229841244326	0.6316619657898509
ALL-07	0.4404090475008397	0.5127275696736637	0.48125468997047005	0.3995415603175421	0.47626578510412065	0.5243569690382808
ALL-08	0.5114095289602429	0.36859032348227033	0.4938469855640086	0.6573160874374184	0.34939210045012675	0.4743313814062845
ALL-10	0.4178230274972273	0.27940281879345863	0.4719823981481507	0.5710356078849649	0.7098312874013488	0.4353250243452102
ALL-19	0.6145677554456412	0.17904993573609085	0.5205244504459566	0.5506877725692263	0.6302981338005657	0.4694213798078191
ALL-25	0.3586052172412677	0.3962805287069866	0.48077888806803926	0.47503799312887107	0.45738091282594884	0.5002319281249257
ALL-27	0.4977362201093109	0.6783456349661467	0.5283395577602744	0.47330468662339265	0.30425723275638683	0.46403590379763715
ALL-30	0.5542914727892677	0.2725522130363714	0.47042446924496784	0.4471270864895503	0.6231454937654035	0.4944586577465752
ALL-31	0.5099975143454851	0.49394085719061304	0.40560222937153034	0.5113851511537381	0.38989614834780834	0.4096536494186227
ALL-32	0.5314487893846563	0.16712069846222344	0.48356795441627015	0.4744356444443249	0.54992173709504	0.493162111837343
ALL-42	0.5694547249993318	0.6572907110141544	0.43888241656320104	0.3344103924934931	0.5057497892538554	0.5501629657562186
ALL-47	0.5078082472431641	0.31712269899549916	0.542996855676219	0.3805656981016086	0.5277771772871266	0.442115688048338
ALL-50	0.5357331290208971	0.42139508208998144	0.4613061248233249	0.562564665216557	0.6523170544314532	0.42128698710182155
ALL-56	0.56196489545989	0.38700843985679145	0.5003053917933683	0.4721872136944637	0.5994985726379221	0.6717205766496397
ALL-57	0.3331208438870047	0.48299138504658035	0.49423327962079366	0.7746873439496663	0.684725510887965	0.49652870206323757
ALL-59	0.5666725720404452	0.16655420135441637	0.3271944207530514	0.2700719350435367	0.5651565290892316	0.634854714495593
ALL-82	0.6024330442841547	0.6783681373382735	0.459111014150705	0.605802324595716	0.8125636098271127	0.4732057074103545
ALL-83	0.4555991078356562	0.6959820952518856	0.4603376555126756	0.5662614074058919	0.5215882327901789	0.5584103754342318
ALL-84	0.6237819743347683	0.24582222860467215	0.5342406465211642	0.5299362759857071	0.5573849932220973	0.601849140682832
ALL-85	0.5671487706593665	0.49875333069079597	0.38254272385255356	0.7763954145524167	0.5109073925007024	0.9107747104785883
MLL-86	0.5181611477661446	0.0940266018705092	0.4597668819250752	0.5430756750833386	0.3028118292158198	0.5845340862451822
ALL-88	0.5208540548050489	0.4657222439339117	0.4888901649836085	0.6056997320046141	0.6299736148670129	0.547670647708853
ALL-91	0.5336517617734051	0.48087453934102786	0.474215127507048	0.46127523280230354	0.5727325403743944	0.5893120343103071
ALL-93	0.6241979093165091	0.37286607063043575	0.4793869362525931	0.5806515173186103	0.5991108860950312	0.4597540507138939
ASPS-KY	0.5433793464495681	0.8214467514462713	0.7148279178263326	0.5038769731295965	0.5509601818185551	0.46849552491474067
BT-27	0.33970084307812	0.46137039629329407	0.43193467480155895	0.3999796377949201	0.5173592227712492	0.5227422766789293
BT-29	0.6408713351898935	0.18106355006176078	0.5692624399961382	0.7484851144862696	0.4816039678600011	0.5081627154408138
